Songs

Rain: Dragon

Bizarre Love Triangle: New Order

Boys In Town: Divinyls

Free Fallin': Tom Petty
Cheap Wine: Cold Chisel
Good Thing: Fine Young Cannibals
Little Lies: Fleetwood Mac
White Wedding: Billy Idol
The Dead Heart: Midnight Oil
Another One Bites the Dust: Queen
Slice Of Heaven: Dave Dobbyn & The Herbs
Never Tear Us Apart: INXS
Legs: ZZ Top
End of the Line: Traveling Wilburys
Solid Rock: Goanna
The One I Love: R.E.M.
Things Don't Seem: Australian Crawl
With or Without You: U2
Jack & Diane: John Mellencamp
Bad Medicine: Bon Jovi
We Don't Need Another Hero: Tina Turner
Take Me Back: Noiseworks
The Heat Is On: Glenn Frey
Janie's Got A Gun: Aerosmith
Edge Of Seventeen: Stevie Nicks
Forever Now: Cold Chisel
Don't You (Forget About Me): Simple Minds
What's My Scene: Hoodoo Gurus
I Ran (So Far Away): A Flock Of Seagulls
